,Entity,Code,Year,Population (historical estimates)
258,Afghanistan,AFG,2021,40099460
517,Africa,,2021,1393676724
589,Africa (UN),,2021,1393676416
851,Albania,ALB,2021,2854710
1110,Algeria,DZA,2021,44177964
1224,American Samoa,ASM,2021,45056
1483,Andorra,AND,2021,79057
1742,Angola,AGO,2021,34503776
1866,Anguilla,AIA,2021,15779
2125,Antigua and Barbuda,ATG,2021,93229
2384,Argentina,ARG,2021,45276788
2643,Armenia,ARM,2021,2790971
2753,Aruba,ABW,2021,106543
3012,Asia,,2021,4693332132
3084,Asia (UN),,2021,4694576128
3343,Australia,AUS,2021,25921094
3602,Austria,AUT,2021,8922086
3861,Azerbaijan,AZE,2021,10312992
4120,Bahamas,BHS,2021,407920
4379,Bahrain,BHR,2021,1463266
4638,Bangladesh,BGD,2021,169356240
4893,Barbados,BRB,2021,281204
5152,Belarus,BLR,2021,9578172
5411,Belgium,BEL,2021,11611416
5670,Belize,BLZ,2021,400037
5929,Benin,BEN,2021,12996901
6017,Bermuda,BMU,2021,64213
6276,Bhutan,BTN,2021,777500
6535,Bolivia,BOL,2021,12079474
6607,Bonaire Sint Eustatius and Saba,BES,2021,26730
6866,Bosnia and Herzegovina,BIH,2021,3270948
7125,Botswana,BWA,2021,2588424
7384,Brazil,BRA,2021,214326224
7465,British Virgin Islands,VGB,2021,31145
7724,Brunei,BRN,2021,445382
7983,Bulgaria,BGR,2021,6885864
8242,Burkina Faso,BFA,2021,22100690
8501,Burundi,BDI,2021,12551215
8760,Cambodia,KHM,2021,16589031
9019,Cameroon,CMR,2021,27198632
9278,Canada,CAN,2021,38155012
9511,Cape Verde,CPV,2021,587936
9589,Cayman Islands,CYM,2021,68157
9848,Central African Republic,CAF,2021,5457165
10107,Chad,TCD,2021,17179744
10366,Chile,CHL,2021,19493184
10625,China,CHN,2021,1425893504
10884,Colombia,COL,2021,51516560
11124,Comoros,COM,2021,821632
11383,Congo,COG,2021,5835814
11468,Cook Islands,COK,2021,17028
11727,Costa Rica,CRI,2021,5153959
11986,Cote d'Ivoire,CIV,2021,27478250
12245,Croatia,HRV,2021,4060139
12504,Cuba,CUB,2021,11256373
12576,Curacao,CUW,2021,190348
12835,Cyprus,CYP,2021,1244193
13094,Czechia,CZE,2021,10510748
13437,Democratic Republic of Congo,COD,2021,95894120
13696,Denmark,DNK,2021,5854246
13955,Djibouti,DJI,2021,1105562
14212,Dominica,DMA,2021,72435
14471,Dominican Republic,DOM,2021,11117873
14738,East Timor,TLS,2021,1320944
14997,Ecuador,ECU,2021,17797736
15256,Egypt,EGY,2021,109262184
15515,El Salvador,SLV,2021,6314165
15774,Equatorial Guinea,GNQ,2021,1634473
16033,Eritrea,ERI,2021,3620324
16292,Estonia,EST,2021,1328704
16551,Eswatini,SWZ,2021,1192273
16810,Ethiopia,ETH,2021,120283024
17117,Europe,,2021,746417727
17189,Europe (UN),,2021,745173760
17448,European Union (27),,2021,445051201
17548,Falkland Islands,FLK,2021,3786
17672,Faroe Islands,FRO,2021,52915
17922,Fiji,FJI,2021,924615
18181,Finland,FIN,2021,5535982
18440,France,FRA,2021,64531448
18564,French Guiana,GUF,2021,297462
18645,French Polynesia,PYF,2021,304038
18904,Gabon,GAB,2021,2341185
19163,Gambia,GMB,2021,2639922
19422,Georgia,GEO,2021,3757984
19681,Germany,DEU,2021,83408560
19940,Ghana,GHA,2021,32833036
20014,Gibraltar,GIB,2021,32698
20273,Greece,GRC,2021,10445368
20377,Greenland,GRL,2021,56266
20636,Grenada,GRD,2021,124624
20760,Guadeloupe,GLP,2021,396057
20842,Guam,GUM,2021,170546
21101,Guatemala,GTM,2021,17608484
21175,Guernsey,GGY,2021,63092
21434,Guinea,GIN,2021,13531909
21693,Guinea-Bissau,GNB,2021,2060730
21952,Guyana,GUY,2021,804571
22211,Haiti,HTI,2021,11447575
22470,High-income countries,,2021,1219584303
22729,Honduras,HND,2021,10278346
22988,Hong Kong,HKG,2021,7494580
23247,Hungary,HUN,2021,9709784
23506,Iceland,ISL,2021,370338
23765,India,IND,2021,1407563904
24024,Indonesia,IDN,2021,273753184
24283,Iran,IRN,2021,87923432
24542,Iraq,IRQ,2021,43533592
24801,Ireland,IRL,2021,4986525
24875,Isle of Man,IMN,2021,84286
25134,Israel,ISR,2021,8900057
25393,Italy,ITA,2021,59240336
25645,Jamaica,JAM,2021,2827701
25904,Japan,JPN,2021,124612528
25978,Jersey,JEY,2021,109634
26237,Jordan,JOR,2021,11148288
26496,Kazakhstan,KAZ,2021,19196468
26755,Kenya,KEN,2021,53005616
26977,Kiribati,KIR,2021,128883
