,SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
72,1,900,,,,1,1,World,0,World,2,Medium,2022,7941658.316,7975105.156,4008579.598,3966525.558,61.1572,101.0602,30.242,66894.032,8.388,66893.679,0.839,82.6159,133990.599,12734.491,16.801,2.3142,1.0607,28.249,105.7,67096.567,36127.636,30968.931,8.413,71.7135,69.1438,74.3968,59.9915,57.4753,62.6034,16.6909,15.1856,18.0663,7.9509,7.1082,8.5578,3688.03,27.5283,130919.443,4965.639,36.8623,85.209,95.4663,74.3177,191.196,224.6263,156.0734,78.9306,95.6832,61.2972,152.9674,185.9613,118.4835,0,0
224,3,1834,b,,,202,12,SDG region,1828,Sub-Saharan Africa,2,Medium,2022,1152212.185,1166766.359,581308.38,585457.979,53.3627,99.2912,17.713,29558.477,25.325,29108.348,2.495,27.7815,39949.955,6196.776,34.228,4.5193,1.9395,29.043,103.4,10391.478,5488.493,4902.985,8.903,60.2055,58.3051,62.1299,51.0289,49.2783,52.7772,12.3322,11.5063,13.0491,5.5393,5.021,5.9186,1894.455,47.5259,38426.406,2756.841,70.0894,183.0077,197.6061,168.1145,364.9874,400.565,328.9966,175.682,195.9127,155.2347,300.3628,335.9621,264.7885,-450.072,-0.386
376,4,1833,,,,747,12,SDG region,1828,Northern Africa and Western Asia,2,Medium,2022,549420.591,553690.051,284436.534,269253.518,44.3715,105.6389,25.8663,8498.089,15.349,8538.921,1.542,44.9512,11522.254,852.071,20.811,2.7814,1.3086,29.15,105.2,3024.165,1676.18,1347.985,5.462,72.9986,70.5971,75.5453,60.1092,57.8334,62.5105,15.2872,13.876,16.5527,6.7564,5.9555,7.3102,225.049,19.5237,11327.437,286.616,24.8069,54.7489,64.3557,44.3227,147.9656,177.6143,114.7429,53.64,66.0576,39.6989,122.6697,150.8027,91.1574,40.909,0.074
528,5,1831,,,,62,12,SDG region,1828,Central and Southern Asia,2,Medium,2022,2074925.234,2084589.545,1064470.975,1020118.569,201.784,104.3478,26.7792,20598.942,9.878,19328.621,0.927,74.7732,37757.083,2544.742,18.107,2.2286,1.0207,27.843,106.7,17158.141,9372.545,7785.596,8.229,68.2754,66.4643,70.2481,56.1377,54.3359,58.0975,13.4649,12.5833,14.3396,6.0897,5.6451,6.4524,1111.515,29.4233,36802.41,1363.269,36.0234,80.8596,89.3224,71.8521,227.4007,260.6764,191.7891,87.1427,104.97,68.2331,194.1733,227.8627,158.1997,-1270.348,-0.609
680,6,1832,,,,753,12,SDG region,1828,Eastern and South-Eastern Asia,2,Medium,2022,2341872.407,2344325.114,1185074.702,1159250.411,144.3514,102.2277,36.5806,5228.348,2.23,4905.413,0.209,,23521.501,1371.798,10.033,1.5041,0.7031,28.673,108.9,18293.153,10068.788,8224.365,7.803,77.1205,74.3045,80.0567,63.4617,60.7392,66.2803,18.1008,16.275,19.7929,8.4917,7.4076,9.2826,276.083,11.7242,23278.473,341.127,14.1525,40.5379,47.8934,32.4624,115.9164,144.3894,85.8679,47.1932,58.9034,34.6755,100.0387,127.2836,71.4868,-322.943,-0.138
832,7,1830,,,,419,12,SDG region,1828,Latin America and the Caribbean,2,Medium,2022,658047.951,660269.074,325127.585,335141.488,32.5806,97.012,30.6037,4617.892,6.993,4442.245,0.673,102.9936,9625.62,1357.704,14.577,1.8474,0.8811,27.557,104.4,5007.728,2748.952,2258.776,7.584,73.7591,70.6039,76.9919,60.1126,57.0349,63.2508,16.6001,15.0658,17.9757,7.4664,6.6299,8.0816,125.84,13.0607,9515.914,151.045,15.5943,58.0085,76.6879,38.7962,166.2204,211.6916,120.1015,77.2006,104.9341,49.0272,150.4787,195.2221,105.3288,-175.469,-0.266
984,8,1835,,,,543,12,SDG region,1828,Oceania (excluding Australia and New Zealand),2,Medium,2022,13558.916,13675.85,7012.48,6663.371,25.2543,105.2392,22.658,244.646,17.882,233.869,1.71,40.5349,331.871,32.838,24.257,3.1009,1.4062,29.225,107.5,87.225,52.17,35.055,6.375,67.808,65.1897,70.9508,55.8517,53.3632,58.848,13.8424,12.5629,15.3189,6.5176,5.8717,7.1159,9.865,29.7377,323.364,12.271,37.0587,94.0022,108.7511,78.2871,239.3033,282.9859,190.7022,101.9179,123.7919,78.8275,204.0552,246.8827,156.6521,-10.521,-0.769
1136,9,1836,,,,53,12,SDG region,1828,Australia/New Zealand,2,Medium,2022,31209.94,31362.702,15568.669,15794.033,3.9464,98.5731,37.1556,152.511,4.875,305.524,0.974,71.165,364.349,7.593,11.646,1.6263,0.7846,31.185,105.6,211.838,109.956,101.882,6.771,83.4751,81.6267,85.3206,68.8233,66.9964,70.6443,21.7072,20.4907,22.8665,10.1493,9.4075,10.7736,1.068,2.9326,363.434,1.284,3.519,16.8609,21.5639,12.0432,61.3322,75.8839,46.816,26.8206,34.5801,18.9831,57.3047,71.5717,43.1039,152.983,4.89
1288,10,1829,,,,513,12,SDG region,1828,Europe and Northern America,2,Medium,2022,1120411.092,1120426.461,545580.273,574846.188,27.5057,94.9089,40.7012,-2004.873,-1.791,30.738,0.003,,10917.966,370.969,9.754,1.5464,0.7443,30.061,105.4,12922.839,6610.552,6312.287,11.545,77.7182,74.5677,80.8989,63.1658,60.0386,66.3172,18.4636,16.802,19.8868,8.7872,8.0411,9.2786,44.155,4.0405,10880.041,53.186,4.8419,31.2767,42.346,19.7431,121.673,162.6139,79.6246,54.9118,76.0953,33.0918,116.4597,157.1489,74.7335,2035.611,1.819
1440,12,901,d,,,514,5,Development group,1803,More developed regions,2,Medium,2022,1275899.342,1275740.855,621388.803,654352.052,26.0046,94.9625,41.4238,-2605.582,-2.044,-316.974,-0.025,,12097.02,386.159,9.491,1.5284,0.736,30.191,105.4,14702.602,7511.308,7191.294,11.535,78.5582,75.4167,81.7262,63.9919,60.8728,67.1321,19.0514,17.3064,20.5626,9.1523,8.2806,9.7394,46.594,3.8483,12057.01,56.396,4.6343,29.4315,39.7116,18.7227,113.9087,151.8309,74.9555,51.1444,70.6027,31.0875,108.8665,146.5318,70.234,2288.586,1.796
1592,13,902,e,,,515,5,Development group,1803,Less developed regions,2,Medium,2022,6665758.974,6699364.3,3387190.794,3312173.506,82.3574,102.2649,28.3472,69499.614,10.373,67210.653,1.003,69.1074,121893.579,12348.332,18.192,2.4264,1.1061,28.115,105.7,52393.965,28616.328,23777.637,7.819,70.278,67.9195,72.771,58.7882,56.4934,61.2008,15.6596,14.302,16.9323,7.1916,6.4122,7.7786,3641.436,29.881,118862.164,4909.243,40.0749,91.6038,101.7236,80.8347,202.9394,235.3723,168.7189,83.663,99.8651,66.5409,161.7349,193.697,128.1894,-2288.436,-0.342
1744,14,941,f,,,199,5,Development group,902,Least developed countries,2,Medium,2022,1112350.87,1125179.449,559590.256,565589.192,55.9655,98.9393,19.3492,26663.915,23.684,25657.158,2.28,30.4012,34844.939,5443.968,30.951,3.9125,1.7475,28.608,103.8,8181.024,4470.902,3710.122,7.267,64.8699,62.4808,67.3258,54.615,52.4478,56.8119,13.3631,12.4207,14.2197,5.8231,5.3416,6.1987,1377.833,39.6201,33699.861,1943.454,56.5247,134.917,152.6611,116.8055,278.3199,320.633,235.4328,123.6866,147.314,100.1184,223.3213,264.2526,182.4498,-1006.773,-0.894
1896,15,934,g,,,,5,Development group,902,"Less developed regions, excluding least developed countries",2,Medium,2022,5553408.104,5574184.852,2827600.538,2746584.314,91.0218,102.9497,30.385,42835.699,7.684,41553.495,0.745,93.0399,87048.64,6904.364,15.615,2.1101,0.9672,28.191,106.5,44212.941,24145.426,20067.515,7.931,71.414,69.1039,73.8586,59.3841,57.0852,61.8087,15.8845,14.4834,17.2014,7.2966,6.4962,7.8978,2263.603,25.992,85161.626,2965.789,33.7202,79.2237,87.544,70.2915,187.2879,218.0491,154.7103,76.4701,91.5552,60.3833,152.3578,183.1762,119.8201,-1281.663,-0.23
2048,16,948,,,,,5,Development group,1803,"Less developed regions, excluding China",2,Medium,2022,5207775.981,5241399.536,2643943.702,2597455.834,73.0932,101.7897,25.5458,69273.662,13.214,67247.109,1.283,54.0255,110900.664,11933.097,21.154,2.7011,1.2259,28.222,105.2,41627.002,22569.72,19057.282,7.94,67.9922,65.7622,70.349,56.7185,54.5674,58.9795,14.4287,13.2518,15.5243,6.661,5.98,7.1689,3577.418,32.2713,107923.949,4827.941,43.5998,102.5044,114.0908,90.296,236.0778,271.0816,199.2192,97.4549,115.7335,78.2505,192.6654,227.3153,156.3866,-2026.049,-0.386
2200,17,1636,h,,,432,5,Development group,1803,Land-locked Developing Countries (LLDC),2,Medium,2022,557225.951,563804.524,280063.328,283741.195,34.158,98.7038,19.2174,13187.858,23.388,13157.146,2.334,29.6978,17346.556,2447.419,30.763,3.8957,1.7483,28.515,104.4,4158.698,2263.959,1894.739,7.375,64.5282,61.829,67.2796,53.7263,51.1939,56.2709,12.811,11.6276,13.8238,5.5878,4.959,6.0084,608.078,35.1027,16835.324,864.784,50.4255,130.0054,148.8988,110.7262,286.371,335.4334,236.9221,130.522,157.7621,103.2619,237.949,286.3878,189.8071,-30.77,-0.055
2352,18,1637,i,,,722,5,Development group,1803,Small Island Developing States (SIDS),2,Medium,2022,74049.106,74363.413,37442.031,36921.382,62.3714,101.4102,29.7099,697.699,9.378,628.613,0.845,82.0293,1263.697,140.346,16.986,2.2632,1.0483,28.369,105.2,565.998,315.468,250.53,7.608,72.4512,69.6471,75.4507,60.4601,57.8326,63.2526,17.1231,15.6362,18.5293,8.5081,7.6873,9.1422,34.523,27.3095,1234.35,44.241,34.9042,80.3634,94.1967,65.6408,185.7957,222.7021,146.5016,77.9273,96.4284,58.316,151.018,186.0515,113.9804,-68.692,-0.923
2504,20,1503,j,,,910,13,Income group,1802,High-income countries,2,Medium,2022,1246571.064,1250514.607,621987.094,628527.512,35.6091,98.9594,40.9033,212.856,0.171,7887.086,0.631,109.849,12128.728,365.452,9.729,1.561,0.7527,30.518,105.2,11915.872,6156.93,5758.942,9.558,80.9413,78.3009,83.6095,66.3839,63.7631,69.0283,20.3246,18.5594,21.9186,9.7738,8.7321,10.5357,47.201,3.8889,12088.166,56.642,4.6491,22.9509,29.3272,16.1106,86.0509,109.0258,61.7666,35.8393,46.5301,24.395,80.9154,103.6123,56.9454,7674.484,6.156
2656,21,1517,j,,,,13,Income group,1802,Middle-income countries,2,Medium,2022,5938703.263,5958018.58,3004213.945,2953804.636,75.0367,101.7066,30.0166,46883.737,7.864,38630.635,0.648,106.9672,96135.682,8487.15,16.125,2.1641,0.992,28.05,106.3,49251.945,26742.071,22509.874,8.261,70.7648,68.3276,73.3216,58.7877,56.3727,61.3101,15.4908,14.0709,16.7974,7.0403,6.2786,7.5872,2563.405,26.6549,93993.73,3368.129,34.7192,81.5954,90.7103,71.9169,194.9626,229.3047,158.9746,80.1434,97.0394,62.3985,159.4238,193.7917,123.5576,-8252.941,-1.384
2808,22,1502,j,,,914,13,Income group,1517,Upper-middle-income countries,2,Medium,2022,2522693.852,2525921.306,1265644.542,1260276.764,46.9845,100.4259,35.563,6071.782,2.404,6454.908,0.256,,26388.43,2048.583,10.448,1.5233,0.7191,28.277,107.5,20316.648,11131.148,9185.5,8.044,76.0276,73.0612,79.0876,62.1074,59.1891,65.1045,17.2184,15.5009,18.752,7.7477,6.8509,8.3688,258.073,9.7657,26163.358,317.602,11.7677,41.5519,51.6219,30.6759,126.4734,162.5741,88.739,55.8524,73.7386,36.9489,113.6714,149.1974,76.6832,383.261,0.152
2960,23,1501,j,,,912,13,Income group,1517,Lower-middle-income countries,2,Medium,2022,3416009.411,3432097.274,1738569.403,1693527.872,133.8539,102.6596,25.8122,40811.955,11.877,32175.727,0.938,73.8963,69747.252,6438.567,20.297,2.5646,1.1593,28.146,105.8,28935.297,15610.923,13324.374,8.42,67.0313,65.0824,69.1112,55.7053,53.7928,57.7398,13.4759,12.436,14.4658,6.0222,5.4764,6.432,2305.332,33.0544,67829.825,3050.527,43.7212,101.0582,109.736,91.9269,245.4562,278.7347,210.3307,98.2909,114.7106,81.0679,202.5839,236.1061,167.3415,-8636.202,-2.513
3112,24,1500,j,,,911,13,Income group,1802,Low-income countries,2,Medium,2022,727676.756,737604.962,368019.745,369585.217,50.2186,99.5764,17.6887,19581,26.547,19856.412,2.692,25.7484,25277.415,3776.01,34.27,4.5423,2.0013,29.159,103.7,5696.415,3095.669,2600.746,7.723,62.9762,60.5111,65.5076,53.105,50.8588,55.3771,12.8634,11.9167,13.6815,5.6312,5.0593,6.0215,1070.715,42.4627,24393.73,1532.811,61.6822,154.406,175.4007,132.675,311.3215,355.834,265.7189,144.8722,171.7766,117.3965,252.692,296.1922,208.7746,275.4,0.373
3264,25,1518,,,,,13,Income group,1802,No income group available,2,Medium,2022,28707.233,28967.006,14358.814,14608.192,24.2163,98.2929,28.3429,216.439,7.512,519.546,1.794,38.637,448.774,105.879,15.575,2.1919,1.0374,26.416,105.3,232.335,132.966,99.369,8.063,71.1299,66.9606,75.6297,57.6325,53.5416,62.0285,15.4014,13.6763,16.9138,6.1896,5.3641,6.7377,6.709,14.9343,442.87,8.057,17.7572,86.0631,123.6275,44.9815,195.0764,258.5133,126.9918,102.6733,148.5053,53.2129,177.5321,240.3776,110.4025,303.207,10.523
3416,27,903,,,,2,2,Geographic region,1840,Africa,2,Medium,2022,1410068.257,1426736.305,712430.907,714305.397,48.2805,99.7376,18.7345,33876.62,23.737,33336.096,2.337,29.6597,45839.088,6649.79,32.119,4.2426,1.8464,28.96,103.6,11962.468,6349.641,5612.827,8.382,62.1532,60.2076,64.1371,52.6009,50.8042,54.4106,12.827,11.9406,13.6097,5.7188,5.2042,6.094,2020.371,44.1571,44206.326,2918.674,64.4723,163.4896,177.0083,149.6236,328.059,362.7916,292.6746,152.2889,170.7858,133.4464,266.2658,300.6466,231.6278,-540.455,-0.379
3568,28,910,,,,14,3,Subregion,903,Eastern Africa,2,Medium,2022,467055.755,473004.847,234535.44,238469.407,71.1017,98.3503,17.7878,12193.298,25.766,11898.184,2.516,27.5496,15528.395,2481.903,32.814,4.1617,1.8725,28.908,103.4,3335.097,1825.181,1509.916,7.048,63.5949,61.0155,66.2407,52.6346,50.2503,55.05,12.8486,11.7756,13.795,5.8282,5.1674,6.3127,549.889,35.4812,15062.734,755.083,49.285,137.5169,157.5593,117.3316,316.2513,364.4448,267.2931,151.6033,180.264,122.9342,270.9466,318.2951,223.4648,-295.095,-0.624
3720,29,108,,BDI,BI,108,4,Country/Area,910,Burundi,2,Medium,2022,12715.87,12889.576,6400.926,6488.65,496.7082,98.648,15.766,345.407,26.798,347.413,2.695,25.7197,439.648,36.863,34.109,4.9803,2.1727,30.652,102.5,94.241,49.766,44.475,7.311,61.9771,60.0765,63.8678,51.8263,50.1244,53.4901,12.4845,11.7346,13.102,5.3403,4.9158,5.6226,15.97,36.3491,426.016,22.214,50.9103,166.399,182.3704,150.1838,331.8657,366.2978,297.2114,163.1808,182.7241,143.6841,276.2236,309.5393,243.1358,2,0.155
3872,30,174,,COM,KM,174,4,Country/Area,910,Comoros,2,Medium,2022,829.245,836.774,420.357,416.416,449.6365,100.9463,20.2612,17.056,20.359,15.057,1.799,38.5296,24.201,2.278,28.887,3.9116,1.7516,30.571,103.2,7.145,3.951,3.194,8.528,63.6799,61.5215,66.0613,53.2183,51.2538,55.3916,11.892,10.8814,12.9017,5.0431,4.6212,5.404,1.102,45.5175,23.3,1.414,58.495,125.4691,139.3045,111.4069,290.5386,328.808,248.5873,119.095,136.8001,100.7688,238.316,275.3965,197.7827,-2,-2.387
